iter	Passed	Remaining
180	657	2976
181	659	2962
182	660	2947
183	661	2933
184	662	2919
185	663	2905
186	665	2891
187	669	2890
188	670	2877
189	671	2864
190	673	2851
191	674	2838
192	676	2826
193	677	2814
194	678	2801
195	680	2789
196	684	2788
197	685	2777
198	687	2765
199	688	2753
200	689	2741
201	690	2729
202	692	2719
203	696	2719
204	699	2711
205	701	2701
206	702	2689
207	703	2677
208	704	2665
209	705	2653
210	706	2642
211	707	2630
212	708	2619
213	711	2613
214	714	2607
215	715	2596
216	717	2587
217	718	2576
218	719	2566
219	720	2554
220	721	2543
221	722	2532
222	723	2522
223	727	2519
224	728	2510
225	729	2499
226	730	2489
227	732	2478
228	733	2468
229	734	2458
230	735	2447
231	736	2437
232	737	2427
233	738	2418
234	742	2416
235	743	2406
236	744	2397
237	746	2389
238	747	2379
239	748	2369
240	749	2360
241	750	2351
242	751	2341
243	752	2332
244	756	2331
245	757	2322
246	758	2313
247	760	2305
248	761	2296
249	762	2287
250	763	2278
251	764	2269
252	765	2261
253	766	2252
254	769	2248
255	771	2241
256	772	2232
257	773	2224
258	774	2215
259	775	2207
260	776	2199
261	777	2190
262	778	2182
263	779	2174
264	780	2166
265	782	2158
266	784	2154
267	786	2146
268	787	2138
269	788	2130
270	789	2123
271	790	2115
272	791	2107
273	792	2099
274	793	2091
275	794	2084
276	795	2076
277	798	2073
278	800	2067
279	801	2060
280	802	2053
281	803	2046
282	804	2039
283	805	2031
284	807	2024
285	808	2017
286	809	2010
287	810	2003
288	813	2000
289	814	1994
290	815	1987
291	816	1980
292	817	1973
293	819	1966
294	820	1959
295	821	1953
296	822	1946
297	823	1939
298	824	1932
299	825	1926
300	829	1926
301	830	1920
302	832	1914
303	833	1908
304	834	1902
305	836	1897
306	838	1893
307	841	1891
308	844	1887
309	845	1881
310	846	1875
311	847	1869
312	849	1863
313	850	1858
314	851	1852
315	853	1846
316	854	1840
317	857	1838
318	858	1832
319	859	1826
320	860	1820
321	862	1815
322	863	1810
323	865	1805
324	866	1799
325	867	1793
326	869	1788
327	871	1785
328	872	1779
329	873	1773
330	874	1768
331	876	1763
332	877	1757
333	878	1752
334	880	1746
335	881	1741
336	882	1735
337	884	1732
338	886	1728
339	887	1722
340	888	1716
341	889	1711
342	890	1705
343	891	1700
344	892	1694
345	893	1689
346	894	1684
347	895	1678
348	896	1673
349	899	1670
350	901	1666
351	902	1661
352	904	1656
353	905	1651
354	906	1646
355	907	1641
356	908	1635
357	909	1630
358	910	1625
359	911	1620
360	914	1618
361	916	1614
362	918	1611
363	920	1608
364	921	1603
365	923	1599
366	924	1594
367	925	1589
368	928	1587
369	929	1583
370	931	1578
371	932	1573
372	933	1569
373	934	1564
374	935	1559
375	936	1554
376	937	1549
377	938	1544
378	939	1540
379	941	1535
380	943	1533
381	944	1528
382	946	1524
383	947	1519
384	948	1514
385	949	1510
386	950	1505
387	951	1500
388	952	1496
389	953	1491
390	954	1487
391	957	1485
392	959	1481
393	960	1477
394	961	1472
395	962	1467
396	963	1463
397	964	1458
398	965	1454
399	966	1450
400	967	1445
401	968	1441
402	970	1437
403	973	1435
404	974	1431
405	975	1427
406	976	1423
407	977	1418
408	978	1414
409	979	1410
410	981	1405
411	982	1401
412	983	1397
413	984	1393
414	986	1391
415	988	1387
416	989	1382
417	990	1378
418	991	1374
419	992	1370
420	993	1366
421	994	1362
422	995	1357
423	996	1353
424	997	1349
425	998	1345
426	1002	1345
427	1003	1341
428	1004	1337
429	1005	1333
430	1006	1329
431	1007	1325
432	1008	1321
433	1009	1317
434	1011	1313
435	1012	1309
436	1013	1306
437	1016	1304
438	1018	1301
439	1019	1297
440	1020	1294
441	1021	1290
442	1023	1286
443	1024	1282
444	1025	1278
445	1026	1274
446	1027	1271
447	1030	1269
448	1031	1266
449	1033	1262
450	1034	1258
